LTI,Observation.related.to,Type.of.Activity,Observation.Category,Reason.for.Deviation,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Raw Materials,Contractor,Construction,Barricading,Procedure Not Followed,Fri,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Confine Space,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Contractor,Operations,Others,Procedure Not Followed,Sun,September,Skidding,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Others,Not Maintained,Procedure Not Existing,Mon,October,Material Handling,Single Working,M/C Working,Unsafe Condition,Tools & Equipment,Process,SAF,Topic 6,Low,First Aid
Engineering & Project,Employee,Maintenance,Uneasiness,Procedure Not Adequate,Fri,November,Equipment Machinery Damage,Not Applicable,Not Applicable,Unsafe Act,PPE,Behaviour,SAF,Topic 7,Low,First Aid
Raw Materials,Employee,Maintenance,Workplace Safety,Procedure Not Followed,Thu,November,Material Handling,Group Working,Not Applicable,Unsafe Condition,PPE,Behaviour,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Others,Road Safety,Procedure Not Followed,Mon,December,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 9,Medium,Medical case
Steel Manufacturing,Employee,Others,PPE,Procedure Not Followed,Sat,December,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Others,Process Safety,Procedure Not Adequate,Tue,December,Dashing/Collision,Group Working,Not Applicable,Unsafe Condition,Confine Space,Behaviour,SNR,Topic 8,Medium,LTI
Raw Materials,Employee,Others,Process Safety,Procedure Not Followed,Thu,January,Material Handling,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 4,Low,First Aid
Shared Services,Employee,Maintenance,Not Followed,Procedure Not Adequate,Sun,January,Dashing/Collision,Single Working,Not Applicable,Unsafe Act by Other,Workplace Safety,Behaviour,SNR,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Construction,Workplace Safety,Procedure Not Followed,Sat,January,Skidding,Group Working,Not Applicable,Unsafe Condition,Excavation,Behaviour,SANF,Topic 1,High,LTI
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Followed,Tue,January,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Contractor,Operations,Mines Safety,Procedure Not Followed,Wed,February,Process Incidents,Group Working,M/C Working,Unsafe Act,Mines Safety,Process,SANF,Topic 8,Medium,Medical case
Engineering & Project,Contractor,Construction,Workplace Safety,Procedure Not Followed,Tue,February,Toxic Chemicals,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 2,High,First Aid
Shared Services,Employee,Others,Material Handling,Procedure Not Followed,Wed,February,Process Incidents,Not Applicable,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,LTI
Steel Manufacturing,Contractor,Others,Environment,Procedure Not Adequate,Wed,March,Material Handling,Not Applicable,Not Applicable,Unsafe Condition,Confine Space,Behaviour,SNR,Topic 9,Low,First Aid
Bearing Division,Employee,Operations,Environment,Procedure Not Followed,Mon,March,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Others,Not Maintained,Procedure Not Followed,Wed,March,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SANF,Topic 4,Medium,First Aid
Raw Materials,Employee,Maintenance,Process Safety,Procedure Not Followed,Wed,March,Road Incident,Single Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SANF,Topic 9,Low,First Aid
Corporate Services,Employee,Others,Tools & Equipment,Procedure Not Followed,Fri,March,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Orderliness,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Others,Uneasiness,Procedure Not Followed,Mon,April,Process Incidents,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Maintenance,Process Safety,Procedure Not Followed,Sat,April,Hydraulic/Pneumatic,Group Working,M/C Idle,Unsafe Act,Process Safety,Process,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Operations,Orderliness,Procedure Not Followed,Sun,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Others,Not Followed,Procedure Not Followed,Sun,April,Medical Ailment,Not Applicable,Not Applicable,Unsafe Condition,PPE,Behaviour,SANF,Topic 6,Low,First Aid
Corporate Services,Employee,Others,Not Followed,Procedure Not Existing,Fri,April,Process Incidents,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SINF,Topic 2,Medium,Medical case
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Sat,May,Hydraulic/Pneumatic,Group Working,M/C Working,Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 6,Low,Medical case
Corporate Services,Employee,Operations,Not Understood,Procedure Not Existing,Fri,May,Material Handling,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 7,Low,Medical case
Shared Services,Employee,Maintenance,Electrical Safety,Procedure Not Adequate,Wed,May,Process Incidents,Not Applicable,Not Applicable,Unsafe Condition,Barricading,Behaviour,SIF,Topic 3,Low,Medical case
Steel Manufacturing,Contractor,Construction,Eyes & Face,Procedure Not Followed,Sat,May,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Gas Cutting & Welding,Behaviour,SANF,Topic 9,Medium,LTI
Steel Manufacturing,Employee,Operations,Others,Procedure Not Followed,Fri,June,Medical Ailment,Single Working,Not Applicable,Unsafe Condition,"Others,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Others,Orderliness,Procedure Not Followed,Thu,June,Road Incident,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,High,LTI
Shared Services,Employee,Maintenance,Electrical Safety,Procedure Not Adequate,Sat,June,Run Over,Not Applicable,Not Applicable,Unsafe Condition,"Others,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Operations,Orderliness,Procedure Not Adequate,Tue,June,Road Incident,Not Applicable,M/C Working,Unsafe Act by Other,Orderliness,Behaviour,SANF,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Followed,Tue,June,Process Incidents,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Operations,Environment,Procedure Not Followed,Sat,June,Material Handling,Group Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 5,Low,Medical case
Raw Materials,Employee,Maintenance,Process Safety,Procedure Not Existing,Fri,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Process Safety,Process,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Operations,Material Handling,Procedure Not Followed,Mon,July,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Construction,Tools & Equipment,Procedure Not Followed,Sat,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SAF,Topic 1,High,First Aid
Steel Manufacturing,Contractor,Construction,Orderliness,Procedure Not Adequate,Wed,July,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act,Barricading,Behaviour,SNNR,Topic 9,High,First Aid
Raw Materials,Employee,Operations,Environment,Procedure Not Followed,Mon,August,Process Incidents,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Others,Behaviour,SANF,Topic 9,Low,First Aid
Raw Materials,Employee,Operations,Others,Procedure Not Followed,Fri,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Others,Electrical Safety,Procedure Not Adequate,Sun,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,"Others,Process Safety",Process,SANF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Operations,Others,Procedure Not Followed,Thu,August,Dashing/Collision,Single Working,Not Applicable,Unsafe Act,Confine Space,Behaviour,SNNR,Topic 4,Low,First Aid
Corporate Services,Contractor,Others,Environment,Procedure Not Followed,Fri,September,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Workplace Safety,Process,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Others,Mines Safety,Procedure Not Adequate,Sat,September,Material Handling,Single Working,M/C Idle,Unsafe Act,Barricading,Behaviour,SIF,Topic 4,Low,First Aid
Bearing Division,Employee,Others,PPE,Procedure Not Followed,Tue,September,Skidding,Single Working,M/C Working,Unsafe Act,Excavation,Process,SINF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Others,Material Handling,Procedure Not Followed,Mon,October,Road Incident,Single Working,M/C Working,Unsafe Act,PPE,Process,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Maintenance,Material Handling,Procedure Not Followed,Sat,October,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 1,High,First Aid
Steel Manufacturing,Contractor,Others,Material Handling,Procedure Not Followed,Fri,November,Material Handling,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Confine Space,Process,SANF,Topic 2,Low,First Aid
Shared Services,Employee,Others,Health,Procedure Not Adequate,Mon,November,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Mines Safety,Behaviour,SAF,Topic 3,High,Medical case
Corporate Services,Contractor,Others,Environment,Procedure Not Adequate,Fri,November,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,Confine Space,Behaviour,SIF,Topic 9,Low,First Aid
Raw Materials,Employee,Others,Process Safety,Procedure Not Existing,Tue,December,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 7,Medium,First Aid
Shared Services,Employee,Others,Orderliness,Procedure Not Existing,Thu,December,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act by Other,Workplace Safety,Behaviour,SNNR,Topic 3,High,Medical case
Shared Services,Employee,Others,Health,Procedure Not Followed,Wed,December,Lifting Tools Tackles,Single Working,M/C Idle,Unsafe Act by Other,Mines Safety,Behaviour,SAF,Topic 7,Medium,First Aid
Raw Materials,Employee,Others,Process Safety,Procedure Not Existing,Tue,December,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SANF,Topic 5,Low,First Aid
Engineering & Project,Employee,Operations,Orderliness,Procedure Not Followed,Sat,January,Hot Metals,Not Applicable,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SIF,Topic 4,Low,First Aid
Engineering & Project,Employee,Operations,Orderliness,Procedure Not Followed,Fri,January,Material Handling,Not Applicable,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SIF,Topic 5,Low,First Aid
Steel Manufacturing,Employee,Operations,Gas Safety,Procedure Not Followed,Thu,January,Material Handling,Group Working,Not Applicable,Unsafe Act,Process Safety,Process,SANF,Topic 4,High,First Aid
Engineering & Project,Employee,Operations,Not Maintained,Procedure Not Followed,Wed,January,Road Incident,Single Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Employee,Others,Handrail,Procedure Not Followed,Sat,January,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Mines Safety,Behaviour,SNNR,Topic 8,Medium,Medical case
Raw Materials,Contractor,Others,Temp. Elect. Wiring,Procedure Not Existing,Sat,January,Gas Leakage,Group Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Others,Not Understood,Procedure Not Followed,Fri,January,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,"Others,Process Safety",Behaviour,SIF,Topic 5,High,First Aid
Corporate Services,Contractor,Others,Barricading,Procedure Not Followed,Fri,January,Process Incidents,Single Working,M/C Idle,Unsafe Act,Barricading,Behaviour,SNR,Topic 3,Low,First Aid
Engineering & Project,Contractor,Construction,Handrail,Procedure Not Followed,Thu,January,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SNR,Topic 1,Medium,LTI
Engineering & Project,Employee,Others,Others,Procedure Not Followed,Thu,February,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 5,Medium,Medical case
Orissa Projects,Contractor,Others,Road Safety,Procedure Not Followed,Tue,February,Lifting Tools Tackles,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SIF,Topic 8,Low,First Aid
Others,Employee,Others,Health,Procedure Not Followed,Tue,February,Road Incident,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SINF,Topic 7,Low,First Aid
Raw Materials,Employee,Others,PPE,Procedure Not Existing,Tue,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Operations,Others,Procedure Not Followed,Tue,February,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,"Others,Process Safety",Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Employee,Others,Electrical Safety,Procedure Not Followed,Mon,February,Process Incidents,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Operations,Falling,Procedure Not Existing,Wed,February,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 8,Medium,First Aid
 TQM & Steel Business ,Employee,Maintenance,Uneasiness,Procedure Not Adequate,Mon,February,Process Incidents,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Employee,Others,Gas Safety,Procedure Not Followed,Wed,February,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Condition,"Others,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Corporate Services,Employee,Others,Material Handling,Procedure Not Existing,Thu,March,Process Incidents,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Medium,Medical case
Shared Services,Employee,Operations,Not Followed,Procedure Not Followed,Mon,March,Hydraulic/Pneumatic,Single Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 4,Low,First Aid
Engineering & Project,Contractor,Others,Orderliness,Procedure Not Followed,Thu,March,Road Incident,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Barricading,Behaviour,SIF,Topic 6,Low,Medical case
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Tue,March,Process Incidents,Single Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SIF,Topic 8,High,First Aid
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Adequate,Sat,March,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Others,Orderliness,Procedure Not Followed,Thu,March,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Process Safety,Behaviour,SINF,Topic 2,Medium,Medical case
Corporate Services,Employee,Others,Others,Procedure Not Followed,Thu,March,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SNNR,Topic 3,Low,Medical case
Others,Employee,Others,Not Followed,Procedure Not Existing,Tue,March,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Others,Others,Procedure Not Adequate,Sat,March,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SNNR,Topic 4,Low,First Aid
Raw Materials,Contractor,Others,Workplace Safety,Procedure Not Followed,Sun,March,Road Incident,Group Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SIF,Topic 4,Low,First Aid
Engineering & Project,Employee,Others,Environment,Procedure Not Followed,Fri,March,Road Incident,Group Working,Not Applicable,Unsafe Condition,Excavation,Behaviour,SNNR,Topic 2,Low,First Aid
Raw Materials,Employee,Others,Orderliness,Procedure Not Followed,Sun,April,Road Incident,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Steel Manufacturing,Employee,Others,Eyes & Face,Procedure Not Followed,Tue,April,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SANF,Topic 3,Low,Medical case
Others,Employee,Others,Caught Between,Procedure Not Followed,Sun,April,Material Handling,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SNR,Topic 7,Low,Medical case
Raw Materials,Employee,Others,Road Safety,Procedure Not Followed,Sat,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNR,Topic 3,Low,LTI
Steel Manufacturing,Employee,Operations,Material Handling,Procedure Not Followed,Thu,April,Material Handling,Group Working,Not Applicable,Unsafe Act,Fire Safety,Process,SANF,Topic 7,Low,First Aid
Engineering & Project,Contractor,Others,Others,Procedure Not Followed,Mon,April,Process Incidents,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 2,Low,First Aid
Steel Manufacturing,Employee,Maintenance,Uneasiness,Procedure Not Adequate,Tue,April,Road Incident,Group Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Others,Employee,Others,Process Safety,Procedure Not Followed,Sun,April,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Fire Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Employee,Maintenance,Not Followed,Procedure Not Existing,Wed,May,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Electrical Safety,Behaviour,SIF,Topic 3,Low,Medical case
Raw Materials,Employee,Others,Not Understood,Procedure Not Followed,Wed,May,Material Handling,Not Applicable,M/C Working,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 5,Low,Medical case
Raw Materials,Employee,Others,Not Understood,Procedure Not Followed,Wed,May,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 5,Low,Medical case
Engineering & Project,Employee,Others,Not Maintained,Procedure Not Adequate,Thu,May,Road Incident,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SINF,Topic 5,High,First Aid
Shared Services,Employee,Others,Orderliness,Procedure Not Followed,Wed,May,Dashing/Collision,Not Applicable,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 4,Low,First Aid
Raw Materials,Employee,Others,Road Safety,Procedure Not Adequate,Wed,May,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,High,Medical case
Steel Manufacturing,Employee,Operations,Orderliness,Procedure Not Followed,Fri,May,Skidding,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,High,Medical case
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Mon,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Followed,Mon,May,Dashing/Collision,Single Working,M/C Working,Unsafe Condition,Tools & Equipment,Process,SANF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Others,Eyes & Face,Procedure Not Adequate,Mon,May,Process Incidents,Single Working,Not Applicable,Unsafe Condition,Orderliness,Process,SNR,Topic 6,Low,Medical case
Steel Manufacturing,Employee,Others,Environment,Procedure Not Adequate,Mon,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Shared Services,Employee,Maintenance,Others,Procedure Not Adequate,Tue,May,Slip/Trip/Fall,Not Applicable,M/C Idle,Unsafe Condition,Barricading,Behaviour,SAF,Topic 3,Low,Medical case
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Followed,Thu,May,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 7,Low,First Aid
Engineering & Project,Employee,Operations,Barricading,Procedure Not Followed,Mon,June,Run Over,Group Working,M/C Working,Unsafe Act,Gas Cutting & Welding,Behaviour,SIF,Topic 4,Low,First Aid
Raw Materials,Employee,Others,Orderliness,Procedure Not Followed,Mon,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SINF,Topic 9,Low,First Aid
Engineering & Project,Contractor,Construction,Excavation,Procedure Not Followed,Fri,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SIF,Topic 3,High,First Aid
Raw Materials,Contractor,Others,Barricading,Procedure Not Followed,Fri,June,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 5,High,First Aid
 TQM & Steel Business ,Employee,Maintenance,Barricading,Procedure Not Followed,Thu,June,Dashing/Collision,Not Applicable,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Others,Process Safety,Procedure Not Existing,Wed,June,Road Incident,Group Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SINF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Others,Not Maintained,Procedure Not Adequate,Tue,June,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Engineering & Project,Employee,Operations,Others,Procedure Not Followed,Tue,June,Material Handling,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SIF,Topic 3,Low,Medical case
Engineering & Project,Contractor,Construction,Others,Procedure Not Followed,Sat,June,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SIF,Topic 4,Low,Medical case
Others,Employee,Others,Road Safety,Procedure Not Adequate,Sat,June,Structural Integrity,Not Applicable,Not Applicable,Unsafe Condition,Workplace Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Contractor,Operations,Not Followed,Procedure Not Followed,Fri,June,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 9,Low,First Aid
Others,Employee,Others,Others,Procedure Not Followed,Sat,July,Medical Ailment,Not Applicable,Not Applicable,Unsafe Condition,"Others,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Maintenance,Orderliness,Procedure Not Followed,Wed,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Employee,Others,Process Safety,Procedure Not Followed,Mon,July,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,"Others,Process Safety",Behaviour,SNNR,Topic 9,Low,Medical case
Orissa Projects,Contractor,Others,Orderliness,Procedure Not Followed,Mon,July,Road Incident,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,High,LTI
Orissa Projects,Contractor,Others,Barricading,Procedure Not Followed,Mon,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SIF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Operations,Process Safety,Procedure Not Adequate,Mon,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act by Other,Electrical Safety,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Operations,Orderliness,Procedure Not Followed,Mon,July,Process Incidents,Group Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Others,Employee,Others,Road Safety,Procedure Not Followed,Wed,July,Process Incidents,Single Working,Not Applicable,Unsafe Act,Process Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Others,Not Followed,Procedure Not Adequate,Mon,July,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Barricading,Behaviour,SAF,Topic 4,Medium,First Aid
Engineering & Project,Contractor,Construction,Health,Procedure Not Followed,Thu,August,Workplace Safety,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 1,Low,Medical case
Orissa Projects,Contractor,Others,Gas Safety,Procedure Not Followed,Wed,August,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNR,Topic 5,High,Medical case
Steel Manufacturing,Employee,Operations,Process Safety,Procedure Not Adequate,Wed,August,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Operations,Not Maintained,Procedure Not Adequate,Wed,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,"Others,Process Safety",Behaviour,SIF,Topic 5,High,First Aid
Steel Manufacturing,Employee,Others,Electrical Safety,Procedure Not Followed,Thu,August,Energy Isolation,Single Working,M/C Idle,Unsafe Act by Other,PPE,Behaviour,SIF,Topic 9,Low,Medical case
Steel Manufacturing,Contractor,Others,Road Safety,Procedure Not Adequate,Thu,August,Workplace Safety,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SANF,Topic 4,Low,First Aid
Others,Contractor,Others,Tools & Equipment,Procedure Not Followed,Wed,August,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SANF,Topic 5,Low,First Aid
Engineering & Project,Contractor,Construction,Workplace Safety,Procedure Not Adequate,Thu,August,Process Incidents,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 9,Low,Medical case
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Thu,August,Road Incident,Group Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Followed,Sun,September,Skidding,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Maintenance,Not Understood,Procedure Not Existing,Sat,September,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Others,Caught Between,Procedure Not Followed,Thu,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Others,Process Safety,Procedure Not Existing,Wed,September,Process Incidents,Single Working,M/C Idle,Unsafe Act,Electrical Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Operations,Confine Space,Procedure Not Adequate,Mon,September,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Process Safety,Process,SANF,Topic 8,High,First Aid
Raw Materials,Contractor,Others,Environment,Procedure Not Adequate,Sat,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 9,Low,First Aid
Engineering & Project,Employee,Others,Not Maintained,Procedure Not Followed,Mon,September,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 4,Low,First Aid
