Division,Observation.related.to,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Corporate Services,Contractor,Mon,November,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Excavation,Process,SANF,Topic 2,Low,First Aid
Steel Manufacturing,Employee,Fri,November,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,High,Medical case
Raw Materials,Employee,Wed,November,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Process Safety,Process,SNR,Topic 1,High,LTI
Engineering & Project,Contractor,Thu,December,Gas Leakage,Single Working,Not Applicable,Unsafe Act,Confine Space,Behaviour,SNR,Topic 3,Low,First Aid
Engineering & Project,Contractor,Wed,December,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Employee,Mon,December,Material Handling,Group Working,M/C Idle,Unsafe Condition,Others,Behaviour,SAF,Topic 1,Low,Medical case
Shared Services,Employee,Fri,December,Material Handling,Group Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SIF,Topic 9,Low,Medical case
Corporate Services,Employee,Wed,December,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Others,Process,SAF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Mon,December,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 5,Low,First Aid
Steel Manufacturing,Employee,Mon,December,Skidding,Group Working,M/C Working,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 9,Low,First Aid
Raw Materials,Employee,Mon,December,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act by Other,Electrical Safety,Behaviour,SINF,Topic 5,Low,First Aid
Others,Contractor,Fri,February,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Thu,February,Road Incident,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 7,Low,First Aid
Engineering & Project,Employee,Sat,February,Road Incident,Single Working,Not Applicable,Unsafe Act,PPE,Behaviour,SNNR,Topic 4,High,First Aid
Shared Services,Employee,Thu,February,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Engineering & Project,Employee,Mon,February,Process Incidents,Single Working,M/C Working,Unsafe Act by Other,Others,Behaviour,SNNR,Topic 9,Low,Medical case
Engineering & Project,Employee,Sat,February,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Tools & Equipment,Behaviour,SINF,Topic 1,Medium,First Aid
Others,Employee,Sat,February,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Corporate Services,Contractor,Thu,February,Material Handling,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,High,First Aid
Steel Manufacturing,Contractor,Tue,February,Run Over,Not Applicable,M/C Working,Unsafe Act by Other,Dismantling,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Fri,February,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 8,Low,First Aid
Corporate Services,Employee,Wed,February,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SANF,Topic 2,Medium,Medical case
Corporate Services,Employee,Tue,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act by Other,Material Handling,Behaviour,SINF,Topic 7,Low,Medical case
Steel Manufacturing,Employee,Wed,March,Hydraulic/Pneumatic,Group Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SANF,Topic 4,Medium,First Aid
Steel Manufacturing,Employee,Sun,March,Process Incidents,Group Working,M/C Idle,Unsafe Act by Other,Dismantling,Behaviour,SANF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Mon,March,Process Incidents,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Sat,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SINF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Sat,March,Material Handling,Group Working,Not Applicable,Unsafe Act,Electrical Safety,Process,SIF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Tue,March,Material Handling,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 4,Low,First Aid
Shared Services,Employee,Mon,March,Structural Integrity,Single Working,Not Applicable,Unsafe Act by Other,Work Permit System,Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Sun,March,Material Handling,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Others,Employee,Thu,March,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Working at Height,Behaviour,SANF,Topic 3,Low,First Aid
Others,Employee,Wed,March,Slip/Trip/Fall,Not Applicable,M/C Working,Unsafe Act by Other,Dismantling,Behaviour,SANF,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Tue,March,Process Incidents,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SAF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Fri,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Wed,April,Road Incident,Single Working,M/C Working,Unsafe Condition,Others,Behaviour,SINF,Topic 7,High,First Aid
Steel Manufacturing,Employee,Tue,April,Material Handling,Group Working,M/C Working,Unsafe Act,Barricading,Behaviour,SAF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Tue,April,Process Incidents,Group Working,M/C Working,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Tue,April,Medical Ailment,Not Applicable,M/C Working,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Mon,April,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Mon,April,Process Incidents,Single Working,Not Applicable,Unsafe Condition,Others,Process,SAF,Topic 9,High,LTI
Shared Services,Employee,Thu,April,Skidding,Group Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Wed,April,Medical Ailment,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Mon,April,Dashing/Collision,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,High,Medical case
Engineering & Project,Employee,Fri,April,Material Handling,Group Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Contractor,Mon,May,Hydraulic/Pneumatic,Group Working,M/C Idle,Unsafe Act by Other,Work Permit System,Process,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Mon,May,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act by Other,Work Permit System,Process,SAF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Mon,May,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Contractor,Sat,May,Road Incident,Group Working,M/C Working,Unsafe Act,Electrical Safety,Process,SINF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Fri,May,Process Incidents,Group Working,M/C Idle,Unsafe Act by Other,Others,Behaviour,SNNR,Topic 9,High,First Aid
Engineering & Project,Employee,Thu,May,Dashing/Collision,Single Working,M/C Working,Unsafe Condition,Process Safety,Process,SNR,Topic 6,Low,First Aid
Others,Employee,Thu,May,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 3,High,Medical case
Others,Employee,Wed,May,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Employee,Fri,June,Road Incident,Group Working,M/C Working,Unsafe Condition,Work Permit System,Behaviour,SINF,Topic 6,Low,First Aid
Shared Services,Contractor,Sun,June,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Process,SINF,Topic 7,Low,First Aid
Others,Employee,Sat,June,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,Excavation,Behaviour,SANF,Topic 5,Low,First Aid
Steel Manufacturing,Employee,Sat,June,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Raw Materials,Contractor,Tue,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Behaviour,SNR,Topic 4,Medium,Medical case
Steel Manufacturing,Employee,Tue,June,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Corporate Services,Employee,Mon,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act by Other,Orderliness,Behaviour,SANF,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Thu,June,Road Incident,Group Working,M/C Working,Unsafe Condition,Tools & Equipment,Process,SINF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Wed,June,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act,Dismantling,Behaviour,SNNR,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Fri,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Dismantling,Behaviour,SIF,Topic 4,Low,Medical case
Engineering & Project,Contractor,Wed,July,Medical Ailment,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 5,High,First Aid
Steel Manufacturing,Employee,Tue,July,Skidding,Group Working,M/C Working,Unsafe Act,PPE,Process,SANF,Topic 7,Low,First Aid
Corporate Services,Employee,Sun,July,Skidding,Group Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SAF,Topic 5,Low,First Aid
Raw Materials,Contractor,Wed,July,Skidding,Group Working,M/C Idle,Unsafe Act,Gas Cutting & Welding,Process,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Mon,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,PPE,Behaviour,SANF,Topic 7,Medium,Medical case
Engineering & Project,Employee,Mon,July,Toxic Chemicals,Single Working,Not Applicable,Unsafe Condition,Barricading,Behaviour,SNNR,Topic 3,Low,Medical case
Corporate Services,Employee,Sun,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Dismantling,Behaviour,SANF,Topic 3,Low,Medical case
Shared Services,Employee,Fri,July,Road Incident,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Sun,July,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SIF,Topic 3,Low,First Aid
Corporate Services,Employee,Sat,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act by Other,Electrical Safety,Behaviour,SINF,Topic 5,Low,First Aid
Engineering & Project,Contractor,Wed,August,Material Handling,Group Working,M/C Idle,Unsafe Condition,Dismantling,Behaviour,SIF,Topic 7,Low,Medical case
Raw Materials,Employee,Wed,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Process Safety,Behaviour,SANF,Topic 8,Low,Medical case
Corporate Services,Employee,Tue,August,Road Incident,Single Working,M/C Working,Unsafe Act by Other,PPE,Behaviour,SIF,Topic 5,Low,First Aid
Corporate Services,Employee,Mon,August,Skidding,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Employee,Thu,August,Medical Ailment,Not Applicable,Not Applicable,Unsafe Act by Other,Barricading,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Employee,Thu,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Sun,August,Material Handling,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Others,Employee,Sat,August,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Shared Services,Employee,Fri,August,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Working at Height,Behaviour,SIF,Topic 3,Low,First Aid
Others,Employee,Fri,August,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,"Positive Isolations,Process Safety",Behaviour,SNNR,Topic 3,Medium,Medical case
Engineering & Project,Employee,Thu,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SINF,Topic 5,Low,First Aid
Shared Services,Employee,Thu,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Mon,August,Road Incident,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SANF,Topic 3,Medium,First Aid
Raw Materials,Employee,Mon,August,Road Incident,Group Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 9,Low,First Aid
Engineering & Project,Employee,Mon,August,Road Incident,Single Working,M/C Working,Unsafe Act by Other,"Positive Isolations,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Thu,September,Crane Dashing,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SINF,Topic 6,Low,First Aid
Engineering & Project,Contractor,Wed,September,Material Handling,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SAF,Topic 1,High,First Aid
Raw Materials,Employee,Sat,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SIF,Topic 1,Low,First Aid
Shared Services,Employee,Fri,September,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act by Other,Fire Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Wed,September,Dashing/Collision,Single Working,M/C Working,Unsafe Act by Other,Gas Cutting & Welding,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Thu,September,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SANF,Topic 4,Low,First Aid
Others,Employee,Sun,September,Skidding,Single Working,M/C Working,Unsafe Act,Others,Behaviour,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Contractor,Wed,September,Road Incident,Single Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Sat,September,Material Handling,Single Working,M/C Working,Unsafe Condition,Tools & Equipment,Behaviour,SINF,Topic 2,Low,First Aid
Engineering & Project,Employee,Thu,September,Hot Metals,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Mon,October,Process Incidents,Single Working,Not Applicable,Unsafe Condition,Fire Safety,Process,SANF,Topic 9,Low,Medical case
Steel Manufacturing,Employee,Mon,October,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SANF,Topic 4,High,First Aid
Raw Materials,Contractor,Fri,October,Working at Height,Group Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SINF,Topic 1,High,LTI
Steel Manufacturing,Employee,Thu,October,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SANF,Topic 7,Low,First Aid
Engineering & Project,Contractor,Wed,October,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Fire Safety,Process,SNNR,Topic 9,Low,Medical case
Raw Materials,Employee,Fri,October,Skidding,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SANF,Topic 8,Low,First Aid
Engineering & Project,Employee,Sun,October,Lifting Tools Tackles,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Sat,October,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Others,Process,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Sat,November,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Corporate Services,Employee,Sat,November,Dashing/Collision,Single Working,Not Applicable,Unsafe Act by Other,Process Safety,Behaviour,SAF,Topic 3,Low,Medical case
Corporate Services,Employee,Sat,November,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Contractor,Thu,November,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SNR,Topic 5,Medium,First Aid
Raw Materials,Employee,Thu,November,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 7,Low,First Aid
Corporate Services,Employee,Wed,November,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Tue,November,Road Incident,Group Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SIF,Topic 9,Low,First Aid
Raw Materials,Employee,Sun,November,Process Incidents,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Dismantling,Behaviour,SANF,Topic 3,Low,First Aid
Corporate Services,Employee,Mon,November,Material Handling,Single Working,M/C Working,Unsafe Act,Barricading,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Employee,Sat,November,Material Handling,Group Working,M/C Working,Unsafe Condition,Others,Process,SAF,Topic 4,High,First Aid
Steel Manufacturing,Employee,Wed,November,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Corporate Services,Employee,Tue,November,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 3,Low,First Aid
Corporate Services,Employee,Fri,November,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,PPE,Behaviour,SIF,Topic 5,Low,First Aid
Engineering & Project,Employee,Mon,December,Road Incident,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Orissa Projects,Contractor,Sun,December,Road Incident,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SANF,Topic 2,High,Medical case
Steel Manufacturing,Employee,Mon,December,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 5,Low,First Aid
Shared Services,Employee,Sat,December,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Others,Behaviour,SAF,Topic 1,Low,First Aid
Others,Employee,Sat,December,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,"Positive Isolations,Process Safety",Behaviour,SNNR,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Mon,January,Material Handling,Single Working,M/C Idle,Unsafe Act,Process Safety,Process,SIF,Topic 8,Low,First Aid
Engineering & Project,Employee,Fri,January,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Dismantling,Behaviour,SIF,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Fri,January,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNNR,Topic 1,Medium,First Aid
Raw Materials,Employee,Thu,January,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SNR,Topic 7,Low,First Aid
Shared Services,Contractor,Tue,January,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SIF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Wed,February,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SINF,Topic 9,Low,Medical case
Engineering & Project,Employee,Fri,March,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act by Other,"Positive Isolations,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
 TQM & Steel Business ,Employee,Mon,March,Material Handling,Single Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Sun,March,Process Incidents,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Employee,Thu,March,Road Incident,Single Working,M/C Idle,Unsafe Act,PPE,Behaviour,SIF,Topic 5,Low,First Aid
Engineering & Project,Employee,Thu,March,Rail,Not Applicable,Not Applicable,Unsafe Act by Other,Work Permit System,Behaviour,SNNR,Topic 3,High,Medical case
Steel Manufacturing,Employee,Tue,April,Process Incidents,Group Working,Not Applicable,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Contractor,Mon,April,Skidding,Single Working,M/C Idle,Unsafe Act,Work Permit System,Behaviour,SINF,Topic 1,Low,First Aid
Corporate Services,Employee,Mon,April,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SIF,Topic 4,Medium,Medical case
Raw Materials,Employee,Mon,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SIF,Topic 6,Low,First Aid
Shared Services,Employee,Sat,April,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Work Permit System,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Fri,May,Material Handling,Single Working,Not Applicable,Unsafe Condition,Barricading,Behaviour,SAF,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Sun,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Mines Safety,Process,SINF,Topic 1,Low,First Aid
Shared Services,Employee,Sat,June,Material Handling,Single Working,Not Applicable,Unsafe Condition,Others,Behaviour,SAF,Topic 7,Low,First Aid
Corporate Services,Employee,Mon,July,Slip/Trip/Fall,Not Applicable,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Engineering & Project,Employee,Fri,July,Skidding,Group Working,M/C Working,Unsafe Act,Others,Process,SNNR,Topic 7,Medium,First Aid
Shared Services,Contractor,Wed,July,Material Handling,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 1,Medium,First Aid
Shared Services,Employee,Fri,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SINF,Topic 5,Medium,First Aid
Shared Services,Employee,Thu,August,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Wed,August,Road Incident,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 2,Low,First Aid
Engineering & Project,Employee,Tue,August,Material Handling,Single Working,Not Applicable,Unsafe Condition,Others,Behaviour,SAF,Topic 4,Low,First Aid
Engineering & Project,Employee,Sun,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 5,Low,First Aid
Others,Employee,Fri,August,Material Handling,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,High,Medical case
Raw Materials,Contractor,Fri,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Confine Space,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Contractor,Sun,September,Skidding,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Mon,October,Material Handling,Single Working,M/C Working,Unsafe Condition,Tools & Equipment,Process,SAF,Topic 6,Low,First Aid
Engineering & Project,Employee,Fri,November,Equipment Machinery Damage,Not Applicable,Not Applicable,Unsafe Act,PPE,Behaviour,SAF,Topic 7,Low,First Aid
Raw Materials,Employee,Thu,November,Material Handling,Group Working,Not Applicable,Unsafe Condition,PPE,Behaviour,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Mon,December,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 9,Medium,Medical case
Steel Manufacturing,Employee,Sat,December,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Tue,December,Dashing/Collision,Group Working,Not Applicable,Unsafe Condition,Confine Space,Behaviour,SNR,Topic 8,Medium,LTI
Raw Materials,Employee,Thu,January,Material Handling,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 4,Low,First Aid
Shared Services,Employee,Sun,January,Dashing/Collision,Single Working,Not Applicable,Unsafe Act by Other,Working at Height,Behaviour,SNR,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Sat,January,Skidding,Group Working,Not Applicable,Unsafe Condition,Excavation,Behaviour,SANF,Topic 1,High,LTI
Steel Manufacturing,Employee,Tue,January,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Contractor,Wed,February,Process Incidents,Group Working,M/C Working,Unsafe Act,Mines Safety,Process,SANF,Topic 8,Medium,Medical case
Engineering & Project,Contractor,Tue,February,Toxic Chemicals,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 2,High,First Aid
Shared Services,Employee,Wed,February,Process Incidents,Not Applicable,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,LTI
Steel Manufacturing,Contractor,Wed,March,Material Handling,Not Applicable,Not Applicable,Unsafe Condition,Confine Space,Behaviour,SNR,Topic 9,Low,First Aid
Bearing Division,Employee,Mon,March,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Wed,March,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SANF,Topic 4,Medium,First Aid
Raw Materials,Employee,Wed,March,Road Incident,Single Working,M/C Working,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 9,Low,First Aid
Corporate Services,Employee,Fri,March,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Orderliness,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Mon,April,Process Incidents,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Sat,April,Hydraulic/Pneumatic,Group Working,M/C Idle,Unsafe Act,Process Safety,Process,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Sun,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Sun,April,Medical Ailment,Not Applicable,Not Applicable,Unsafe Condition,PPE,Behaviour,SANF,Topic 6,Low,First Aid
Corporate Services,Employee,Fri,April,Process Incidents,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SINF,Topic 2,Medium,Medical case
Raw Materials,Employee,Sat,May,Hydraulic/Pneumatic,Group Working,M/C Working,Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 6,Low,Medical case
